x_value	y_value
0	0
0.030303	0.000918274
0.0606061	0.00367309
0.0909091	0.00826446
0.121212	0.0146924
0.151515	0.0229568
0.181818	0.0330579
0.212121	0.0449954
0.242424	0.0587695
0.272727	0.0743802
0.30303	0.0918274
0.333333	0.111111
0.363636	0.132231
0.393939	0.155188
0.424242	0.179982
0.454545	0.206612
0.484848	0.235078
0.515152	0.265381
0.545455	0.297521
0.575758	0.331497
0.606061	0.367309
0.636364	0.404959
0.666667	0.444444
0.69697	0.485767
0.727273	0.528926
0.757576	0.573921
0.787879	0.620753
0.818182	0.669421
0.848485	0.719927
0.878788	0.772268
0.909091	0.826446
0.939394	0.882461
0.969697	0.940312
1	1
1.0303	1.06152
1.06061	1.12489
1.09091	1.19008
1.12121	1.25712
1.15152	1.32599
1.18182	1.39669
1.21212	1.46924
1.24242	1.54362
1.27273	1.61983
1.30303	1.69789
1.33333	1.77778
1.36364	1.8595
1.39394	1.94307
1.42424	2.02847
1.45455	2.1157
1.48485	2.20478
1.51515	2.29568
1.54545	2.38843
1.57576	2.48301
1.60606	2.57943
1.63636	2.67769
1.66667	2.77778
1.69697	2.87971
1.72727	2.98347
1.75758	3.08907
1.78788	3.19651
1.81818	3.30579
1.84848	3.4169
1.87879	3.52984
1.90909	3.64463
1.93939	3.76125
1.9697	3.87971
2	4
2.0303	4.12213
2.06061	4.2461
2.09091	4.3719
2.12121	4.49954
2.15152	4.62902
2.18182	4.76033
2.21212	4.89348
2.24242	5.02847
2.27273	5.16529
2.30303	5.30395
2.33333	5.44444
2.36364	5.58678
2.39394	5.73095
2.42424	5.87695
2.45455	6.02479
2.48485	6.17447
2.51515	6.32599
2.54545	6.47934
2.57576	6.63453
2.60606	6.79155
2.63636	6.95041
2.66667	7.11111
2.69697	7.27365
2.72727	7.43802
2.75758	7.60422
2.78788	7.77227
2.81818	7.94215
2.84848	8.11387
2.87879	8.28742
2.90909	8.46281
2.93939	8.64004
2.9697	8.8191
3	9
