tplot	xplot	yplot	zplot
0	1	1	20
0.1	1.34107	2.01367	15.4652
0.2	2.51599	4.35098	12.3688
0.3	5.44468	9.81779	11.917
0.4	11.5211	18.7145	20.2761
0.5	15.0456	13.3871	37.7995
0.6	8.75922	0.198869	35.1044
0.7	2.36211	-1.43272	26.4352
0.8	0.224299	-0.994739	20.1371
0.9	-0.512571	-1.19966	15.4447
1	-1.26419	-2.33555	11.9685
1.1	-2.89654	-5.41143	9.86114
1.2	-6.88363	-12.7699	11.4361
1.3	-14.2526	-21.1822	26.1247
1.4	-13.5926	-6.95988	40.4962
1.5	-5.44465	2.08514	32.1221
1.6	-0.539787	2.17346	24.1234
1.7	1.09905	2.41399	18.5701
1.8	2.42163	4.1993	14.7404
1.9	4.97277	8.69973	13.3665
2	10.1505	16.5854	18.9098
2.1	14.7324	15.5039	34.7499
2.2	10.1865	2.41108	36.121
2.3	3.69589	-0.631607	27.8562
2.4	1.21562	-0.00101115	21.2615
2.5	0.769038	0.70385	16.3071
2.6	1.10485	1.75638	12.5839
2.7	2.29643	4.17949	10.0673
2.8	5.3964	10.1181	10.0864
2.9	12.1302	20.15	20.0018
3	15.4126	12.6067	39.5402
3.1	8.06606	-1.21538	34.9193
3.2	1.42098	-2.38134	25.9736
3.3	-0.804809	-2.32385	19.888
3.4	-2.09399	-3.67763	15.6284
3.5	-4.25612	-7.4094	13.5031
3.6	-8.77074	-14.7563	16.7903
3.7	-14.3761	-17.557	31.4142
3.8	-11.5846	-4.62763	37.4116
3.9	-4.81233	0.458555	29.6025
4	-1.58577	0.0413342	22.5826
4.1	-0.909565	-0.734064	17.3236
4.2	-1.20036	-1.83528	13.3781
4.3	-2.39561	-4.2867	10.7139
4.4	-5.49169	-10.1758	10.6723
4.5	-12.0867	-19.8486	20.3979
4.6	-15.2414	-12.534	39.1827
4.7	-8.12491	0.884395	34.8214
4.8	-1.64007	2.08507	25.9834
4.9	0.511836	1.91879	19.8506
5	1.6284	2.94886	15.4454
5.1	3.39768	6.0021	12.8083
5.2	7.2785	12.7598	14.2186
5.3	13.6338	19.213	27.0082
5.4	13.1372	7.62659	38.6531
5.5	6.14155	-0.528916	31.8048
5.6	1.72639	-0.649057	24.1257
5.7	0.521382	-0.0917087	18.4431
5.8	0.317714	0.270209	14.1276
5.9	0.472103	0.769494	10.8373
6	1.03842	1.94736	8.3874
6.1	2.60011	5.09367	6.97012
6.2	6.77363	13.1399	9.04801
6.3	15.1009	23.0133	26.2573
6.4	13.5079	5.12001	42.1495
6.5	4.20577	-3.69858	31.927
6.6	-0.807484	-3.68755	24.0988
6.7	-2.78814	-4.72248	19.1776
6.8	-5.05736	-8.14089	16.9086
6.9	-9.08062	-14.011	20.0014
7	-13.1774	-15.1449	31.0685
7.1	-11.0085	-5.81956	35.3059
7.2	-5.78062	-1.52186	29.2791
7.3	-3.18111	-2.05227	23.0128
7.4	-3.14155	-3.9472	18.3929
7.5	-4.8972	-7.6539	16.0803
7.6	-8.86112	-13.934	18.9511
7.7	-13.3987	-15.9191	30.6775
7.8	-11.3565	-5.9312	35.9351
7.9	-5.75166	-1.09955	29.6507
8	-2.86406	-1.52795	23.1056
8.1	-2.61978	-3.16979	18.2088
8.2	-4.04254	-6.36897	15.2933
8.3	-7.60208	-12.4943	16.5509
8.4	-12.9741	-17.4565	27.4124
8.5	-12.6627	-8.19885	36.9717
8.6	-6.75183	-0.90957	31.5314
8.7	-2.80564	-0.714825	24.3734
8.8	-1.95248	-1.91855	18.903
8.9	-2.67366	-4.06422	15.0519
9	-5.05087	-8.61962	13.6393
9.1	-10.0978	-16.3764	19.0182
9.2	-14.6208	-15.4762	34.4729
9.3	-10.2494	-2.66826	36.0705
9.4	-3.85519	0.459565	27.945
9.5	-1.38102	-0.194463	21.3589
9.6	-0.99774	-1.04545	16.4117
9.7	-1.51941	-2.46038	12.7523
9.8	-3.17032	-5.74491	10.5886
9.9	-7.26369	-13.2153	12.4409
10	-14.3866	-20.6165	27.3759
10.1	-13.1855	-6.33008	39.9519
10.2	-5.24891	1.8023	31.5921
10.3	-0.704263	1.78961	23.7869
10.4	0.76079	1.89117	18.2513
10.5	1.83987	3.26886	14.2796
10.6	3.89388	6.95638	12.2081
10.7	8.43602	14.6596	15.2694
10.8	14.6965	18.705	30.8901
10.9	11.9481	4.48681	38.3233
11	4.59414	-1.16442	29.956
11.1	1.03707	-0.846849	22.7142
11.2	0.0582362	-0.560428	17.3702
11.3	-0.33906	-0.768302	13.3147
11.4	-0.857057	-1.62728	10.261
11.5	-2.0761	-3.99335	8.21264
11.6	-5.24873	-10.1619	8.526
11.7	-12.4401	-21.1593	19.3614
11.8	-15.7285	-12.2465	40.7197
11.9	-7.65409	2.20728	34.9153
12	-0.746773	3.15615	25.8258
12.1	1.61921	3.41283	19.9849
12.2	3.34957	5.59134	16.3031
12.3	6.41279	10.6563	15.9757
12.4	11.5734	16.9169	23.7776
12.5	13.5135	11.4951	35.9108
12.6	8.4771	2.06726	33.4502
12.7	3.63187	0.722962	26.1337
12.8	2.19906	1.81326	20.288
12.9	2.65781	3.80013	16.0975
13	4.73342	7.89439	14.1839
13.1	9.29836	15.1733	18.1222
13.2	14.2855	16.4711	32.4447
13.3	11.0488	4.15733	36.6174
13.4	4.66231	-0.0946634	28.9676
13.5	1.82312	0.464181	22.2032
13.6	1.40035	1.53448	17.1259
13.7	2.13285	3.42626	13.4817
13.8	4.335	7.697	11.8706
13.9	9.3522	16.033	16.3589
14	15.1816	17.6317	33.5144
14.1	11.0361	2.64837	37.5651
14.2	3.68454	-1.44384	28.7214
14.3	0.632447	-1.01373	21.799
14.4	-0.275169	-0.965393	16.6901
14.5	-0.882528	-1.67613	12.8534
14.6	-2.01841	-3.75597	10.1852
14.7	-4.8029	-9.06876	9.68954
14.8	-11.1001	-19.1218	17.6342
14.9	-15.9543	-15.1148	38.2703
15	-9.19134	0.716881	36.1612
15.1	-1.7696	2.6234	26.7886
15.2	0.815214	2.51466	20.4848
15.3	2.20151	3.85208	16.1295
15.4	4.408	7.59548	14.0044
15.5	8.90424	14.7812	17.3929
15.6	14.2408	17.0987	31.5996
15.7	11.4296	4.67081	37.0498
15.8	4.88952	-0.182983	29.4531
15.9	1.79948	0.277688	22.5382
16	1.24509	1.24529	17.3459
16.1	1.80463	2.84998	13.5432
16.2	3.63798	6.47507	11.4581
16.3	8.03595	14.2254	14.1072
16.4	14.7146	19.5616	29.8267
16.5	12.3701	4.9069	39.0164
16.6	4.70047	-1.51429	30.4788
16.7	0.808892	-1.29563	23.0445
16.8	-0.372953	-1.23967	17.642
16.9	-1.12803	-2.09748	13.6269
17	-2.5008	-4.58089	10.9614
17.1	-5.7681	-10.6549	11.132
17.2	-12.4502	-20.0142	21.5656
17.3	-14.9018	-11.529	39.3675
17.4	-7.7013	0.920616	34.2884
17.5	-1.59237	1.87817	25.6555
17.6	0.393543	1.68429	19.5962
17.7	1.39828	2.57701	15.1875
17.8	2.97065	5.29739	12.3802
17.9	6.49979	11.6171	12.9855
18	12.9643	19.525	24.3002
18.1	13.9902	9.69695	38.8763
18.2	7.05132	-0.467447	33.0977
18.3	1.85424	-1.03627	25.005
18.4	0.299501	-0.57562	19.0877
18.5	-0.176088	-0.584976	14.6193
18.6	-0.563678	-1.09885	11.2256
18.7	-1.35875	-2.59739	8.75107
18.8	-3.4051	-6.63358	7.64477
18.9	-8.60877	-16.142	11.8904
19	-16.4564	-20.9429	33.1385
19.1	-11.5558	-0.629022	39.8814
19.2	-2.24622	3.94393	29.1558
19.3	1.50689	3.88684	22.3683
19.4	3.40902	5.57884	18.1911
19.5	6.1596	9.88615	17.1937
19.6	10.6901	15.5685	23.0334
19.7	13.2087	12.5358	34.0882
19.8	9.31642	3.59149	33.7606
19.9	4.61404	1.50468	27.1033
20	3.01054	2.60298	21.3566
20.1	3.57887	4.97987	17.3916
20.2	6.01717	9.5894	16.348
20.3	10.6566	15.8533	22.2373
20.4	13.5435	13.079	34.3192
20.5	9.47796	3.33097	34.2404
20.6	4.41429	1.05905	27.243
20.7	2.63323	2.06448	21.2744
20.8	3.00808	4.1436	17.0114
20.9	5.11251	8.30286	15.201
21	9.59472	15.1682	19.4204
21.1	13.9559	15.465	32.7333
21.2	10.689	4.24243	35.8439
21.3	4.80815	0.478162	28.6192
21.4	2.27106	1.15106	22.1114
21.5	2.12126	2.63908	17.2636
21.6	3.4192	5.54105	14.1804
21.7	6.76784	11.5548	14.6663
21.8	12.6159	18.3541	24.9255
21.9	13.584	9.86517	37.6724
22	7.38783	0.541387	32.8445
22.1	2.57425	-0.115651	25.1305
22.2	1.24473	0.738718	19.2825
22.3	1.36569	1.90088	14.9051
22.4	2.49375	4.30216	11.9224
22.5	5.44624	9.87994	11.567
22.6	11.6478	18.9949	20.2377
22.7	15.124	13.2389	38.1501
22.8	8.62341	-0.0871335	35.0672
22.9	2.17516	-1.61608	26.3289
23	0.0262194	-1.24583	20.0616
23.1	-0.813137	-1.67129	15.4256
23.2	-1.84305	-3.34304	12.1065
23.3	-4.14833	-7.65123	10.6957
23.4	-9.40639	-16.5081	15.5166
23.5	-15.6371	-18.1225	34.1839
23.6	-10.9521	-1.74585	37.9154
23.7	-3.12782	2.13385	28.5298
23.8	0.00555119	1.80788	21.6491
23.9	1.18986	2.34594	16.71
24	2.54754	4.48845	13.3585
24.1	5.44322	9.69824	12.6992
24.2	11.2527	18.1094	20.401
24.3	14.8449	13.6457	37.0287
24.4	9.03413	0.840313	35.1512
24.5	2.77646	-1.01836	26.6743
24.6	0.662823	-0.443823	20.3319
24.7	0.144971	-0.172443	15.5625
24.8	0.000498413	-0.123273	11.919
24.9	-0.0883267	-0.206222	9.12994
25	-0.248163	-0.49906	6.99813
25.1	-0.66725	-1.34685	5.39613
25.2	-1.85693	-3.80458	4.40909
25.3	-5.27312	-10.7424	5.59911
25.4	-13.592	-23.6625	19.4677
25.5	-15.6249	-9.65342	43.3214
25.6	-6.02635	4.18493	34.2544
25.7	0.760184	4.57524	25.4967
25.8	3.25022	5.4601	20.5092
25.9	5.64508	8.74491	18.5051
26	9.43405	13.7852	21.8687
26.1	12.6235	13.7031	31.3173
26.2	10.4245	5.87981	34.059
26.3	5.98382	2.44263	28.689
26.4	3.89531	3.13508	23.0411
26.5	4.21637	5.46002	19.0914
26.6	6.47394	9.75962	18.1526
26.7	10.554	14.8995	23.5242
26.8	12.8076	12.2424	33.3625
26.9	9.36253	4.22604	33.3318
27	5.05338	2.12864	27.2212
27.1	3.56199	3.26986	21.7582
27.2	4.28552	5.9103	18.1704
27.3	6.96229	10.718	18.0027
27.4	11.3603	15.6403	25.0057
27.5	12.7386	10.8689	34.6201
27.6	8.48875	3.1528	32.6105
27.7	4.39678	1.90654	26.1535
27.8	3.28543	3.26717	20.8111
27.9	4.2396	6.08655	17.4171
28	7.17774	11.2504	17.6772
28.1	11.8316	16.1515	25.7372
28.2	12.7317	10.1132	35.351
28.3	7.99038	2.49203	32.2796
28.4	3.95473	1.62779	25.5874
28.5	2.97749	3.02783	20.2278
28.6	3.96206	5.81221	16.7795
28.7	6.92366	11.0838	16.8729
28.8	11.8395	16.6031	25.0725
28.9	13.0612	10.519	35.7514
29	8.09093	2.18508	32.7031
29.1	3.73229	1.19305	25.7117
29.2	2.58573	2.45929	20.1339
29.3	3.34846	4.89843	16.3286
29.4	5.95766	9.77125	15.465
29.5	10.9455	16.5431	22.0652
29.6	13.8583	13.0046	35.1944
29.7	9.2435	2.57292	34.3747
29.8	3.92356	0.530041	26.9372
29.9	2.12682	1.48486	20.8478
30	2.34982	3.22098	16.3932
30.1	4.07151	6.76031	13.9226
30.2	8.13009	13.6622	16.1781
30.3	13.8606	17.9835	29.3649
30.4	12.2396	6.2479	37.6407
30.5	5.64126	-0.0753788	30.603
30.6	1.99118	0.118018	23.3979
30.7	1.2004	1.02974	17.9836
30.8	1.59233	2.42482	13.9706
30.9	3.11906	5.50825	11.4964
31	6.91107	12.4279	12.7361
31.1	13.7071	20.1237	25.8727
31.2	13.5935	7.98028	39.5035
31.3	6.13633	-1.14421	32.3086
31.4	1.29377	-1.35526	24.3469
31.5	-0.17272	-1.12893	18.6067
31.6	-0.888301	-1.72161	14.3237
31.7	-1.98949	-3.63705	11.306
31.8	-4.57344	-8.50602	10.3813
31.9	-10.3903	-17.9609	16.9051
32	-15.8323	-16.3935	36.6056
32.1	-9.95158	-0.335173	36.8303
32.2	-2.39405	2.29254	27.4538
32.3	0.353655	2.02756	20.9014
32.4	1.56747	2.88953	16.2344
32.5	3.24704	5.68519	13.3349
32.6	6.85461	11.9802	14.1317
32.7	13.0371	18.9478	25.4635
32.8	13.5461	9.09554	38.3247
32.9	6.90076	-0.0565381	32.5666
33	2.12871	-0.493975	24.7614
33.1	0.799945	0.186577	18.9411
33.2	0.694642	0.847138	14.5356
33.3	1.19941	2.05046	11.2475
33.4	2.67512	4.99694	9.19691
33.5	6.46939	12.1697	10.4548
33.6	13.9699	21.5766	24.5329
33.7	14.0934	7.94657	40.9214
33.8	5.81828	-2.27019	32.7729
33.9	0.472112	-2.49948	24.5369
34	-1.34348	-2.81008	18.9416
34.1	-2.83739	-4.8429	15.2169
34.2	-5.6829	-9.75866	14.3746
34.3	-11.0348	-17.1657	21.3624
34.4	-14.2695	-13.3454	35.8926
34.5	-9.20212	-1.91132	34.7585
34.6	-3.47867	0.102935	26.8626
34.7	-1.54115	-0.713922	20.6163
34.8	-1.48032	-1.90354	15.9442
34.9	-2.5231	-4.23071	12.7291
35	-5.32344	-9.5207	12.0814
35.1	-11.2136	-18.301	19.8023
35.2	-15.0787	-13.9924	37.2459
35.3	-9.0982	-0.564155	35.4015
35.4	-2.5934	1.33967	26.7259
35.5	-0.37332	0.857185	20.3515
35.6	0.322455	0.914703	15.5918
35.7	0.904494	1.70751	12.0145
35.8	2.10019	3.94764	9.56826
35.9	5.08975	9.67465	9.44359
36	11.7768	20.0327	18.7496
36.1	15.7914	13.6244	39.4265
36.2	8.44569	-1.33023	35.451
36.3	1.36663	-2.71293	26.2571
36.4	-1.04627	-2.71848	20.1443
36.5	-2.50407	-4.31228	15.9929
36.6	-4.96825	-8.50791	14.3411
36.7	-9.80925	-15.8158	19.1161
36.8	-14.336	-15.5861	33.6272
36.9	-10.4959	-3.40658	36.0554
37	-4.29423	0.0646364	28.2921
37.1	-1.77062	-0.607349	21.7076
37.2	-1.492	-1.75477	16.773
37.3	-2.37605	-3.87863	13.3028
37.4	-4.88154	-8.66458	12.1504
37.5	-10.3394	-17.2374	18.2379
37.6	-15.1846	-15.7423	35.6433
37.7	-10.0274	-1.50235	36.3662
37.8	-3.12931	1.30374	27.6113
37.9	-0.575229	0.800022	21.0017
38	0.159471	0.713873	16.0775
38.1	0.624355	1.2252	12.3496
38.2	1.4737	2.77816	9.64047
38.3	3.5914	6.90173	8.4365
38.4	8.83418	16.2968	12.8431
38.5	16.2756	20.189	33.5241
38.6	11.4031	0.915861	39.335
38.7	2.4823	-3.46199	28.9635
38.8	-1.11023	-3.34707	22.1167
38.9	-2.84584	-4.79636	17.6799
